2 0,08981173 0,09670642 3,480738 496,773590087891 255,599578857422 2 0,1104963 0,3864078 3,453907 499,891448974609 210,997619628906 2 0,1297726 0,6692085 3,415772 502,932464599609 166,365158081055 2 0,1184147 0,7910342 3,419304 501,039825439453 147,540588378906 2 -0,04121582 0,5442387 3,444955 476,460540771484 186,645202636719 2 -0,07690927 0,3117644 3,482762 471,197845458984 223,00212097168 2 -0,08317583 0,1346546 3,439527 470,325073242188 249,713333129883 2 -0,07021612 0,06337173 3,423516 472,367706298828 260,642791748047 2 0,2467425 0,5316423 3,354754 522,053039550781 186,154571533203 2 0,2909876 0,2993479 3,371804 528,96044921875 223,094299316406 2 0,2704419 0,1283884 3,319474 526,662170410156 249,667755126953 2 0,2474605 0,05078768 3,312149 523,15771484375 262,05810546875 2 0,02724408 0,09914444 3,463503 487,298004150391 255,20329284668 2 0,05076051 -0,2169152 3,523932 490,864166259766 302,974853515625 2 0,049998 -0,5161196 3,573924 490,742370605469 346,900085449219 2 0,02197923 -0,5599418 3,457192 487,003326416016 356,232604980469 2 0,1503564 0,09251402 3,429416 506,46484375 255,976287841797 2 0,1948362 -0,2241531 3,475059 513,078735351563 304,416717529297 2 0,2092556 -0,5239197 3,528917 514,882141113281 348,915100097656 2 0,1797419 -0,5676187 3,412258 511,687408447266 358,419647216797 2 0,125112 0,5994963 3,427433 502,173217773438 177,528381347656 2 -0,07338311 0,001308977 3,41387 471,916748046875 270,2529296875 2 -0,09898391 0,03980183 3,4015 467,881988525391 264,275604248047 2 0,2489677 -0,007747286 3,301404 523,6025390625 271,424926757813 2 0,2456837 0,03120465 3,3066 522,968811035156 265,183990478516 
2 0,08980159 0,09672761 3,480737 496,772003173828 255,596328735352 2 0,110394 0,3864511 3,453856 499,876129150391 210,990173339844 2 0,1295526 0,6692944 3,415635 502,899353027344 166,347778320313 2 0,118468 0,7912375 3,419635 501,045288085938 147,520812988281 2 -0,04213625 0,5456356 3,445928 476,317199707031 186,454330444336 2 -0,07683233 0,3126524 3,482245 471,208251953125 222,859771728516 2 -0,08331432 0,1349796 3,439201 470,302978515625 249,661407470703 2 -0,07170742 0,06657507 3,423155 472,1337890625 260,147033691406 2 0,2466409 0,5314556 3,354713 522,037719726563 186,183151245117 2 0,2907859 0,2974003 3,371663 528,932556152344 223,39875793457 2 0,2701647 0,1264751 3,319252 526,622863769531 249,972122192383 2 0,2475595 0,05485757 3,314413 523,137512207031 261,412994384766 2 0,02724731 0,09916983 3,463514 487,298400878906 255,199447631836 2 0,05041157 -0,2178152 3,524071 490,811645507813 303,109191894531 2 0,05012615 -0,5152681 3,57395 490,760681152344 346,773101806641 2 0,02190126 -0,5591015 3,45728 486,990447998047 356,101531982422 2 0,1503355 0,09253179 3,429399 506,461700439453 255,973480224609 2 0,1944817 -0,227492 3,476361 513,012878417969 304,913269042969 2 0,2091233 -0,5248206 3,528534 514,8671875 349,059143066406 2 0,1794057 -0,5685141 3,411939 511,639221191406 358,567352294922 2 0,1249212 0,5995682 3,42732 502,14453125 177,514297485352 2 -0,07800477 0,00131058 3,412236 471,196746826172 270,256408691406 2 -0,1076389 0,07481538 3,407 466,518005371094 258,845367431641 2 0,2391065 -0,006259257 3,302951 521,995300292969 271,194274902344 2 0,261429 -0,001443901 3,2996 525,626953125 270,402282714844 
2 0,08962854 0,09686069 3,480781 496,745361328125 255,576416015625 2 0,1101635 0,3865654 3,453883 499,840423583984 210,973266601563 2 0,1293347 0,6694035 3,415651 502,865203857422 166,331466674805 2 0,1159985 0,7930198 3,417674 500,675262451172 147,174606323242 2 -0,04214186 0,5457864 3,445608 476,316345214844 186,423294067383 2 -0,07699466 0,3128923 3,482212 471,183288574219 222,822937011719 2 -0,08412204 0,1363507 3,44012 470,178588867188 249,456298828125 2 -0,07028608 0,07318346 3,427557 472,352355957031 259,137115478516 2 0,2466006 0,5315101 3,354941 522,028137207031 186,180313110352 2 0,2902898 0,2963962 3,370798 528,869140625 223,545059204102 2 0,2696888 0,1250609 3,320088 526,534973144531 250,203399658203 2 0,246043 0,0529195 3,317318 522,854431152344 261,731781005859 2 0,02700938 0,09939585 3,463589 487,261596679688 255,165390014648 2 0,05021675 -0,2164463 3,524217 490,78076171875 302,902130126953 2 0,04952952 -0,5143668 3,573975 490,671447753906 346,639282226563 2 0,0214585 -0,5582178 3,457253 486,921936035156 355,966979980469 2 0,1502434 0,09258091 3,429418 506,447326660156 255,966033935547 2 0,1945846 -0,2261795 3,47631 513,028137207031 304,713592529297 2 0,2090037 -0,524002 3,530121 514,830810546875 348,90087890625 2 0,1794363 -0,5677146 3,413474 511,626922607422 358,403442382813 2 0,1246961 0,5996768 3,427337 502,109466552734 177,498138427734 2 -0,07546018 0,01020696 3,412901 471,586059570313 268,872833251953 2 -0,1019604 0,06442058 3,406591 467,409637451172 260,456787109375 2 0,2352859 -0,007740979 3,298633 521,443664550781 271,436706542969 2 0,2293442 0,06525388 3,314857 520,20849609375 259,768005371094 
2 0,08950462 0,0967323 3,480812 496,726379394531 255,59619140625 2 0,1098119 0,3864993 3,453992 499,785675048828 210,985595703125 2 0,128692 0,6695163 3,415905 502,763275146484 166,322174072266 2 0,1163516 0,7928412 3,417445 500,731964111328 147,193878173828 2 -0,04136514 0,5435013 3,443171 476,438812255859 186,715591430664 2 -0,07807238 0,3113924 3,481822 471,019805908203 223,046875 2 -0,08481181 0,1364186 3,439605 470,071411132813 249,443237304688 2 -0,07185326 0,06804056 3,426267 472,112731933594 259,929748535156 2 0,246472 0,5313756 3,35518 522,004516601563 186,207733154297 2 0,2899279 0,2964417 3,3726 528,783325195313 223,563247680664 2 0,2692116 0,1255706 3,320029 526,459289550781 250,1220703125 2 0,2465757 0,05442963 3,314032 522,985900878906 261,481262207031 2 0,02680138 0,09926924 3,46364 487,229675292969 255,185150146484 2 0,05004398 -0,217074 3,524077 490,755737304688 302,997955322266 2 0,04881998 -0,5195943 3,576332 490,5595703125 347,364776611328 2 0,02141598 -0,5634263 3,459404 486,911773681641 356,712493896484 2 0,1501932 0,09243541 3,429434 506,439544677734 255,98860168457 2 0,1935512 -0,2276794 3,477981 512,853393554688 304,926483154297 2 0,2093374 -0,5237896 3,529829 514,884033203125 348,875213623047 2 0,1804267 -0,5675291 3,41297 511,786102294922 358,38671875 2 0,1241326 0,5997309 3,427547 502,020538330078 177,495880126953 2 -0,07323433 0,01061821 3,408204 471,927368164063 268,804992675781 2 -0,09984905 0,05067471 3,402812 467,741271972656 262,585113525391 2 0,2471464 -0,008242997 3,307611 523,219848632813 271,503967285156 2 0,2198927 0,04755095 3,304125 518,85205078125 262,580963134766 
2 0,08939259 0,09671225 3,480902 496,708709716797 255,599716186523 2 0,1095574 0,3863555 3,454054 499,746276855469 211,008926391602 2 0,128319 0,6692135 3,415903 502,705596923828 166,369522094727 2 0,116073 0,7926226 3,418146 500,683654785156 147,253433227539 2 -0,04093718 0,5433772 3,442566 476,505126953125 186,719680786133 2 -0,08030378 0,3126016 3,484751 470,682464599609 222,904342651367 2 -0,08526376 0,1356684 3,438773 470,001098632813 249,554183959961 2 -0,07212788 0,06369162 3,427066 472,074340820313 260,60498046875 2 0,2461519 0,5314551 3,355439 521,950256347656 186,201904296875 2 0,2898968 0,2965456 3,372648 528,777648925781 223,547607421875 2 0,2692047 0,1256938 3,319984 526,458801269531 250,102172851563 2 0,2459107 0,0513146 3,314363 522,877136230469 261,980773925781 2 0,02657234 0,09931857 3,463866 487,193725585938 255,178771972656 2 0,04958053 -0,2174668 3,524408 490,684875488281 303,054351806641 2 0,04951605 -0,5144823 3,574304 490,668090820313 346,6494140625 2 0,02228385 -0,558373 3,457317 487,048461914063 355,988494873047 2 0,1501535 0,09237871 3,429455 506,433258056641 255,997497558594 2 0,1932549 -0,2306095 3,479482 512,794189453125 305,358093261719 2 0,2090573 -0,5243396 3,530735 514,832153320313 348,937896728516 2 0,1803284 -0,5680903 3,413822 511,762054443359 358,452087402344 2 0,1237855 0,5994696 3,427563 501,966827392578 177,537078857422 2 -0,07803813 0,002090097 3,415037 471,194122314453 270,135589599609 2 -0,1004286 0,0531882 3,403148 467,649658203125 262,194885253906 2 0,2337654 -0,008397839 3,304224 521,12158203125 271,541625976563 2 0,2211209 0,03867221 3,301091 519,0966796875 263,997985839844 
2 0,08906432 0,09681573 3,481223 496,656677246094 255,585586547852 2 0,1090169 0,3863838 3,454797 499,657928466797 211,017791748047 2 0,1276432 0,6691519 3,41725 502,589752197266 166,420715332031 2 0,1152379 0,7922325 3,418566 500,551177978516 147,32991027832 2 -0,04150639 0,5431661 3,442736 476,417510986328 186,756790161133 2 -0,08109092 0,3122759 3,484326 470,562377929688 222,948715209961 2 -0,08543191 0,1357188 3,439346 469,975982666016 249,550033569336 2 -0,07392948 0,06515457 3,421794 471,789245605469 260,36474609375 2 0,2460722 0,5311034 3,355943 521,930908203125 186,270233154297 2 0,2898413 0,2963991 3,37274 528,767517089844 223,571960449219 2 0,2688817 0,1253023 3,321209 526,388549804688 250,172393798828 2 0,2431865 0,04928515 3,315341 522,428833007813 262,309997558594 2 0,02628553 0,09940821 3,463993 487,149322509766 255,165832519531 2 0,04943478 -0,217972 3,524463 490,663055419922 303,129943847656 2 0,04978659 -0,512917 3,574273 490,707305908203 346,417572021484 2 0,02268425 -0,5567887 3,457215 487,109100341797 355,747589111328 2 0,1498201 0,09247589 3,430038 506,376251220703 255,985198974609 2 0,1934377 -0,2296664 3,478979 512,826782226563 305,219360351563 2 0,2085632 -0,5216221 3,531765 514,744445800781 348,507293701172 2 0,1799716 -0,5653659 3,41478 511,694458007813 358,00439453125 2 0,1231366 0,5994307 3,42874 501,857208251953 177,575531005859 2 -0,07798328 0,002084853 3,411788 471,198913574219 270,136108398438 2 -0,1054795 0,05687705 3,408153 466,871276855469 261,637329101563 2 0,2380895 -0,008254253 3,302842 521,835144042969 271,515258789063 2 0,2197121 0,03552698 3,306286 518,804077148438 264,513336181641 
2 0,08881689 0,09693846 3,481231 496,618774414063 255,567138671875 2 0,1086271 0,3865036 3,454653 499,599060058594 210,997222900391 2 0,1271393 0,6692904 3,416873 502,514465332031 166,388031005859 2 0,1146011 0,7920594 3,419007 500,449157714844 147,373245239258 2 -0,04223091 0,5433528 3,443503 476,305389404297 186,747192382813 2 -0,08116714 0,3121254 3,484207 470,550720214844 222,970092773438 2 -0,08678595 0,1369721 3,440772 469,768249511719 249,366638183594 2 -0,07457262 0,06908837 3,426515 471,691070556641 259,770599365234 2 0,245702 0,5313643 3,356149 521,869262695313 186,234466552734 2 0,289395 0,2969801 3,373022 528,692443847656 223,484924316406 2 0,2688746 0,1258775 3,321296 526,385681152344 250,081146240234 2 0,2417057 0,04809999 3,313282 522,22216796875 262,495788574219 2 0,02606447 0,09955642 3,464015 487,115264892578 255,143432617188 2 0,04894929 -0,215819 3,523265 490,593688964844 302,817596435547 2 0,04976526 -0,5129716 3,574172 490,70458984375 346,427856445313 2 0,02253422 -0,5568613 3,457157 487,086303710938 355,760284423828 2 0,1495873 0,09255297 3,430024 506,340362548828 255,973449707031 2 0,1921379 -0,2264194 3,477058 512,647033691406 304,744812011719 2 0,2082223 -0,5192026 3,531617 514,693237304688 348,147552490234 2 0,1795046 -0,5629869 3,414672 511,621215820313 357,638061523438 2 0,1226597 0,5995622 3,428431 501,785736083984 177,547149658203 2 -0,07327773 0,01062634 3,410371 471,922637939453 268,804779052734 2 -0,1015209 0,05147532 3,405342 467,485595703125 262,467651367188 2 0,2392224 -0,007414475 3,312226 521,883483886719 271,376770019531 2 0,2198333 0,04225614 3,308299 518,79150390625 263,438995361328 
2 0,08869679 0,0969072 3,481231 496,600524902344 255,571990966797 2 0,1085191 0,3864844 3,454676 499,582336425781 211,000640869141 2 0,1270807 0,6692937 3,416909 502,505035400391 166,388717651367 2 0,1142947 0,7919868 3,41942 500,398559570313 147,399719238281 2 -0,04229053 0,5433662 3,442943 476,296417236328 186,731536865234 2 -0,0811514 0,312301 3,484339 470,553161621094 222,945098876953 2 -0,0874758 0,1373791 3,440427 469,661041259766 249,302368164063 2 -0,076632 0,07180723 3,427042 471,370666503906 259,353363037109 2 0,2453223 0,5313007 3,356552 521,803649902344 186,254943847656 2 0,2864437 0,3022144 3,373026 528,224182128906 222,664688110352 2 0,2690794 0,1288504 3,322035 526,404541015625 249,611206054688 2 0,2414097 0,05189332 3,315626 522,138549804688 261,895385742188 2 0,02589067 0,09951083 3,463907 487,089050292969 255,150085449219 2 0,04922418 -0,2186608 3,523665 490,635406494141 303,241119384766 2 0,04969305 -0,5130413 3,574171 490,693908691406 346,438293457031 2 0,02270558 -0,5569403 3,457073 487,112976074219 355,774291992188 2 0,1494942 0,0925189 3,430096 506,325347900391 255,979080200195 2 0,1920007 -0,2261836 3,476804 512,628601074219 304,711486816406 2 0,2082646 -0,5193287 3,531696 514,69873046875 348,164672851563 2 0,1797894 -0,5631218 3,414669 511,665588378906 357,658813476563 2 0,1225889 0,5995601 3,428464 501,774505615234 177,548446655273 2 -0,07789167 0,01061569 3,407339 471,201416015625 268,808776855469 2 -0,1023037 0,07064305 3,4035 467,344207763672 259,478973388672 2 0,2385015 -0,008263926 3,308152 521,826110839844 271,514678955078 2 0,2493802 -0,01226645 3,306667 523,595031738281 272,147094726563 
2 0,08844933 0,09704512 3,481093 496,563537597656 255,55061340332 2 0,1080852 0,3866807 3,454636 499,515777587891 210,970153808594 2 0,1264669 0,6695921 3,417016 502,408599853516 166,346008300781 2 0,1135979 0,7920045 3,419155 500,292297363281 147,387893676758 2 -0,04394583 0,5438043 3,444427 476,040435791016 186,701354980469 2 -0,08172166 0,3122479 3,484601 470,466705322266 222,957214355469 2 -0,08788353 0,138336 3,440091 469,596862792969 249,153137207031 2 -0,07526626 0,07169926 3,423327 471,578369140625 259,356994628906 2 0,2453422 0,5310873 3,356843 521,802978515625 186,296005249023 2 0,286112 0,3024057 3,372615 528,178283691406 222,629058837891 2 0,268644 0,1290759 3,322117 526,333618164063 249,576080322266 2 0,2407388 0,05276964 3,314036 522,053039550781 261,751770019531 2 0,02564137 0,09968337 3,463711 487,051391601563 255,123046875 2 0,04925735 -0,218819 3,523484 490,641296386719 303,266571044922 2 0,04959758 -0,5123446 3,574166 490,679321289063 346,335052490234 2 0,0224158 -0,5562425 3,457112 487,067901611328 355,666534423828 2 0,1492848 0,09260982 3,430005 506,293762207031 255,964813232422 2 0,1914276 -0,2264983 3,477191 512,537353515625 304,756103515625 2 0,2077381 -0,5200966 3,53188 514,6181640625 348,276397705078 2 0,1790728 -0,5638755 3,414897 511,552429199219 357,770660400391 2 0,1220196 0,5998288 3,428529 501,685729980469 177,509002685547 2 -0,0778237 0,01060583 3,404789 471,209106445313 268,80908203125 2 -0,1019358 0,06329082 3,399596 467,398590087891 260,612457275391 2 0,2357914 -0,007754439 3,30576 521,424865722656 271,436157226563 2 0,2203126 0,06255536 3,313727 518,780578613281 260,203765869141 
2 0,08817079 0,09717485 3,481169 496,520568847656 255,531402587891 2 0,1079071 0,386702 3,454692 499,488067626953 210,967987060547 2 0,1263928 0,6695629 3,41705 502,396850585938 166,351684570313 2 0,1132247 0,7919877 3,419567 500,231384277344 147,405624389648 2 -0,04417327 0,5438877 3,444546 476,005310058594 186,691543579102 2 -0,08176735 0,3123431 3,484887 470,460021972656 222,946640014648 2 -0,08812919 0,1383946 3,439724 469,558319091797 249,14208984375 2 -0,07669661 0,07100804 3,422886 471,356781005859 259,463745117188 2 0,2446186 0,5312368 3,357249 521,682800292969 186,283172607422 2 0,2844348 0,3001915 3,371784 527,929260253906 222,966918945313 2 0,2679711 0,1280093 3,322854 526,215698242188 249,751434326172 2 0,2425356 0,05767705 3,31931 522,261596679688 260,980499267578 2 0,02539228 0,09979244 3,463671 487,013336181641 255,106369018555 2 0,04911849 -0,2184651 3,523443 490,620269775391 303,213836669922 2 0,05006966 -0,510447 3,574161 490,748016357422 346,053253173828 2 0,02291783 -0,5543692 3,457079 487,143676757813 355,379455566406 2 0,1489847 0,09275781 3,430213 506,245361328125 255,943099975586 2 0,1871411 -0,202853 3,469506 511,947448730469 301,224273681641 2 0,2088703 -0,5074615 3,529516 514,805725097656 346,429138183594 2 0,1802265 -0,5513602 3,412492 511,748229980469 355,885772705078 2 0,1219232 0,5998079 3,428568 501,670501708984 177,513412475586 2 -0,08044259 0,01018948 3,408903 470,806549072266 268,877838134766 2 -0,1077991 0,06981283 3,407786 466,4990234375 259,626281738281 2 0,2336611 -0,008387589 3,30294 521,122802734375 271,540466308594 2 0,2275886 0,02777015 3,308572 520,04248046875 265,752899169922 
2 0,08696003 0,09736533 3,481845 496,331756591797 255,506256103516 2 0,106944 0,3867223 3,455362 499,335357666016 210,977188110352 2 0,1257469 0,6694697 3,417678 502,291595458984 166,385833740234 2 0,1131604 0,7919034 3,419724 500,220397949219 147,424468994141 2 -0,0458652 0,5449094 3,44621 475,743438720703 186,575820922852 2 -0,08164155 0,312714 3,485111 470,479187011719 222,893188476563 2 -0,08825959 0,138456 3,439633 469,538024902344 249,132125854492 2 -0,07581598 0,07115032 3,426065 471,496490478516 259,451202392578 2 0,2436948 0,5314507 3,357639 521,53125 186,259841918945 2 0,2834575 0,2970865 3,372108 527,772888183594 223,460556030273 2 0,2671468 0,1252328 3,321723 526,103698730469 250,188110351563 2 0,2423743 0,05525531 3,312109 522,340270996094 261,347595214844 2 0,02428841 0,100084 3,464251 486,842102050781 255,065200805664 2 0,04908435 -0,2184929 3,523501 490,614959716797 303,217468261719 2 0,05010315 -0,5105068 3,57416 490,753021240234 346,062103271484 2 0,02266046 -0,5544143 3,457159 487,10400390625 355,384643554688 2 0,1477554 0,09281366 3,430957 506,048522949219 255,938613891602 2 0,1881201 -0,2215386 3,477366 512,02734375 304,001342773438 2 0,2061765 -0,5200482 3,533874 514,361511230469 348,226440429688 2 0,1772705 -0,563823 3,416945 511,250762939453 357,711669921875 2 0,1211975 0,5997383 3,429209 501,553344726563 177,542114257813 2 -0,08056616 0,01020639 3,413448 470,793029785156 268,877319335938 2 -0,1084974 0,08177999 3,408857 466,383483886719 257,769409179688 2 0,2353683 -0,007742329 3,300011 521,4375 271,436401367188 2 0,2582113 0,04058582 3,296934 525,117004394531 263,649932861328 
